index,city
4,Bangalore
14,Bangalore
29,Bangalore
37,Bangalore
41,Bangalore
49,Bangalore
56,Bangalore
57,Bangalore
60,Bangalore
64,Bangalore
71,Bangalore
76,Bangalore
1,Delhi
9,Delhi
11,Delhi
17,Delhi
22,Delhi
27,Delhi
30,Delhi
36,Delhi
40,Delhi
51,Delhi
63,Delhi
10,Gujrat
12,Gujrat
19,Gujrat
25,Gujrat
26,Gujrat
28,Gujrat
33,Gujrat
34,Gujrat
44,Gujrat
53,Gujrat
59,Gujrat
61,Gujrat
62,Gujrat
65,Gujrat
66,Gujrat
68,Gujrat
0,Hyderabad
16,Hyderabad
31,Hyderabad
35,Hyderabad
38,Hyderabad
42,Hyderabad
43,Hyderabad
46,Hyderabad
55,Hyderabad
58,Hyderabad
67,Hyderabad
6,Mumbai
8,Mumbai
13,Mumbai
20,Mumbai
21,Mumbai
45,Mumbai
48,Mumbai
52,Mumbai
69,Mumbai
79,Mumbai
3,Prayagraj
5,Prayagraj
15,Prayagraj
23,Prayagraj
39,Prayagraj
47,Prayagraj
54,Prayagraj
70,Prayagraj
72,Prayagraj
74,Prayagraj
77,Prayagraj
2,Pune
7,Pune
18,Pune
24,Pune
32,Pune
50,Pune
73,Pune
75,Pune
78,Pune
